mobygames_id	arcade_museum_id
005	6759
10-yard-fight_	6761
1941-counter-attack	6765
1942	6767
1943-kai	6768
1943-the-battle-of-midway	6769
1944-the-loop-master	6770
19xx-the-war-against-destiny	6772
3-count-bout	6778
4-d-warriors	6785
64th-street-a-detective-story	6790
720	6791
aaargh	18696
ab-cop	6797
acrobat-mission	6807
act-fancer-cybernetick-hyper-weapon	6809
action-fighter	6810
aero-fighters	6817
aero-fighters-2	6818
aero-fighters-3	6819
after-burner-ii	6822
aggressors-of-dark-kombat	6823
air-assault	6824
air-attack__	17881
air-buster	6825
air-duel	6829
air-gallet	6830
airwolf__	6836
ajax	6837
alex-kidd-the-lost-stars	6845
alibaba-and-40-thieves	6847
alien-challenge	13513
alien-sector	6855
alien-storm	6856
alien-syndrome	6857
alien-vs-predator__	6858
aliens_____	6859
alligator-hunt	6864
alpha-mission	6799
alpha-mission-ii	6867
altered-beast	6873
amazing-maze	6875
andro-dunos	6886
angel-kids	6888
angler-dangler	6889
apb	6795
arch-rivals	6905
armed-police-batrider	6924
armored-warriors	6927
art-of-fighting-2	6930
art-of-fighting-3-the-path-of-the-warrior	6931
ashura-blaster	6932
assault_	6934
astro-blaster	6943
astro-chase	6944
asuka-asuka	6953
avenging-spirit	6980
aztarac	6981
b-wings-battle-wings	6983
back-street-soccer	6989
badlands	6993
bagman	6995
bal-cube	7001
bang-bang-ball	7009
bank-panic	7012
baseball-stars-2_	7021
baseball-stars-professional	7022
battle-bakraid	7033
battle-chopper_	7037
battle-chopper_	8777
battle-circuit	7038
battle-cross	7039
battle-flip-shot	7042
battle-garegga	7043
battletoads__	7058
bayroute	7060
beast-busters	7063
ben-bero-beh	7091
berlinwall_	7094
berzerk	7096
big-karnak	7106
bio-ship-paladin	7121
biomechanical-toy	7122
blade-master	7140
blasteroids	7146
blazeon	7148
blazing-star	7150
blockout	7159
blood-bros	7163
blood-warrior	7164
bloodstorm	7165
bloxeed	7170
blue-hawk	7171
blues-journey	7174
bomb-bee	7179
bonanza-bros	7185
bongo_	13184
bonks-adventure-arcade-version	18765
bonze-adventure	7188
boot-hill	7193
borench	7195
boulder-dash	7198
boulder-dash	7200
boulder-dash_	7199
bowl-o-rama	7204
brap-boys	6984
breakers_	7214
bristles	7218
brute-force_	7220
bubbles	7226
burgertime	7239
burning-fight	7242
burning-force	7243
bust-a-move__	9169
bust-a-move-again	9170
cabal	7252
cadash	7254
cadillacs-and-dinosaurs	7255
caliber50	7258
capcom-sports-club	12716
captain-america-and-the-avengers	7275
captain-commando	7276
captain-tomaday	7280
carnival	7286
carrier-air-wing	7287
cavelon	7294
cerberus	7301
challenger_	7305
champion-boxing	7308
champion-pro-wrestling	12801
champion-wrestler	7309
championship-sprint	7312
change-air-blade	11351
charlie-ninja	7316
chiller	7328
choplifter	7333
circus-charlie	7341
cliffhanger-edward-randy	18986
clutch-hitter	7361
columns	7369
combatribes	7374
congo-bongo	7384
cosmic-avenger	7399
cosmic-cop	7401
cosmic-guerilla	7402
cosmo-gang-the-puzzle	7407
cosmo-gang-the-video	7408
counter-run	7416
crime-city__	7436
crime-fighters	7437
crossbow	13655
crossed-swords	7445
cruisn-world	7451
cue-brick	7460
cutie-q	7462
cybattler	7463
cyber-lip	7467
cyberball	7469
d-d-crew	7476
dangerous-dungeons-	7509
dangerous-seed	7510
darius	7514
dark-seal	7521
dark-tower_	7525
darkstalkers-the-night-warriors	7524
dead-angle	7535
dead-connection	7536
deep_	19039
defender	7547
denjinmakai	18926
dharma-dj	7577
diet-go-go	7580
dimahoo	7585
dingo	7586
dino-rex	7587
discs-of-tron	7594
dj-boy	7480
do-run-run	7596
don-doko-don	7606
donpachi	7607
double-dragon_	7620
double-dragon-3-the-rosetta-stone	7622
double-wings	7629
dragon-breed	7640
dragon-buster	7641
dragon-master	10974
dragon-saber-after-story-of-dragon-spirit	7644
dragon-spirit	7645
dungeons-dragons-shadow-over-mystara	7667
dungeons-dragons-tower-of-doom	7668
dyger	7672
dynamic-country-club	12415
dynamite-duke	7677
dynamite-dx	7678
dynasty-wars	7680
earth-defense-force	7682
eco-fighters	7690
eight-man	7696
eliminator___	7704
emeraldia	7705
empire-city-1931	7707
enduro-racer	7710
escape-from-the-planet-of-the-robot-monsters	7716
escape-kids	7717
esp-rade-ad-2018-tokyo	7684
eswat-cyber-police	7685
explosive-breaker	19083
exterminator-	7737
exvania	7741
f-1-grand-prix	7745
face-off	7750
fairyland-story	7751
fantasy-zone	7755
fantasy-zone-ii	7756
fatal-fury	7768
fatal-fury-2	7764
fatal-fury-3-road-to-the-final-victory	7765
fatal-fury-special	7766
fax	7769
fighters-history	7777
fighting-soccer	7789
final-blow	7791
finest-hour	7805
fire-battle	10978
fire-one	7809
firetrap	7813
flashgal	7824
flashpoint	7823
flicky	7825
flip-and-flop	7827
flying-tiger	7835
food-fight	7837
freeze	7851
frenzy	7853
funky-bee	7863
funky-jet	7866
g-loc-air-battle	7871
gain-ground	7878
galaga-88	7883
galaxy-fight-universal-warriors	7890
galaxy-force-ii	7892
galaxy-game	13736
gals-panic	7902
gang-wars	7909
ganryu	7910
gauntlet	7922
gauntlet-ii	7925
gee-bee	7927
genpei-tma-den	7930
ghost-pilots	7937
gi-joe-a-real-american-hero__	7872
giga-wing	7942
gladiator__	7950
goal-goal-goal	7959
gorf	7983
gp-rider	7873
grobda	8015
growl	8017
guardians-of-the-hood	8022
gulf-storm	8032
gulf-war-ii	8033
gundhara-juudan-arashi	19142
gunforce	19143
gunnail	8051
guwange	8055
gyrodine	8059
hachoo	8063
hammerin-harry	8065
hang-on	8068
hard-drivin	8072
hard-head	8076
hard-head-2	8077
hat-trick	8083
hatris	8088
heated-barrel	8093
heavy-smash	8096
heavy-unit	8097
heberekes-popoon	10674
heiankyo-alien	8100
hippodrome	8118
hook___	8134
hopping-mappy	8139
hot-rod	8148
hotdog-storm	8151
hunchback	8156
hydra	8160
hyper-crash	17945
hyper-duel	8163
hyper-pacman	8167
ikki	19162
imagefight	8181
in-the-hunt	8184
indiana-jones-and-the-temple-of-doom	8186
insector-x	8194
intrepid	8197
ivan-ironman-stewarts-super-off-road	12843
ivan-ironman-stewarts-super-off-road	8208
joe-mac-caveman-ninja	7296
joe-mac-returns	8236
john-elways-quarterback	8237
joust	8243
joust-2-survival-of-the-fittest	8244
jump-coaster	8251
jump-kids	17962
jumping-pop	12854
jungle-hunt	8257
kabuki-z	13447
kageki_	8269
kaitei-takara-sagashi	8273
karian-cross-	8282
king-of-dragons	8313
king-of-fighters-2000	8321
king-of-fighters-2001	8322
king-of-fighters-94	8314
king-of-fighters-95	8315
king-of-fighters-96	8316
king-of-fighters-97	8317
king-of-the-monsters	8324
king-of-the-monsters-2-the-next-thing	8325
kingdom-grandprix	8326
kizuna-encounter-super-tag-battle	8329
knights-of-the-round	8333
knuckle-heads	8339
krull	8358
kyros	8364
lady-bug	8374
land-sea-air-squad	19197
laser-ghost_	8382
last-blade	8387
last-blade-2	8386
last-day_	8390
last-resort	8393
last-survivor	8395
league-bowling	8403
legend-of-hero-tonma	8405
legend-of-silkroad	8408
legionnaire__	8414
leprechaun	8415
libble-rabble	8423
liberation	8424
line-of-fire	8432
liquid-kids	8433
lock-n-chase	8436
lock-on	8437
loco-motion	8439
lode-runner	8441
looping	8452
lost-castle-in-darkmist	8455
lost-tomb	8456
macross-plus	8481
mad-motor	8488
mad-planets	8489
magic-sword	8496
magical-cat-adventure	8499
magical-drop-ii	8503
magical-drop-iii	8504
magician-lord	8509
marble-madness	8618
marvel-land	8633
masked-riders-club-battle-race	13756
mayhem-2002	8647
mazinger-z-	8651
mega-man-2-the-power-fighters	13750
mega-man-the-power-battle	8659
mercs	8667
meta-fox	8670
metal-black	8671
metal-slug-2-super-vehicle-001ii	8676
metal-slug-4	10854
metal-slug-5	12904
metal-slug-super-vehicle-001	8675
metal-slug-x	8678
metro-cross	8683
mia-missing-in-action_	8472
michael-jacksons-moonwalker_	8686
mobile-suit-gundam_	8725
money-puzzle-exchanger	8735
monster-lair	10466
moon-patrol	8747
mortal-kombat	8753
mortal-kombat-3	8754
mortal-kombat-ii	8756
motorace-usa	8758
motos	8762
mouse-trap	8765
mr-do	8767
mr-dos-castle	8771
mr-dos-wild-ride	8772
mr-tnt	8780
mug-smashers	8785
mutant-fighter	8797
mutation-nation	8799
my-hero	8800
mystic-riders	8804
nam-1975	8823
narc	8809
nba-hangtime	8812
nba-hangtime	8816
nba-jam	8813
nba-jam-tournament-edition	8815
nemo	8843
neo-bomberman	8844
neo-drift-out-new-technology	8845
neo-geo-cup-98-the-road-to-the-victory	8849
neo-mr-do	8847
neo-turf-masters	8848
new-atomic-punk-global-quest	7183
new-rally-x	8855
nhl-open-ice-2-on-2-challenge	6774
night-stocker	8870
nightmare-in-the-dark	8873
ninja-clowns	8877
ninja-combat	8878
ninja-commando	8879
ninja-kids	8887
ninja-masters	8888
ninja-spirit	8891
nostradamus	8899
numan-athletics	8903
ny-captor	8808
ordyne	8931
osman	19289
outfoxies	8941
outrun	8938
pac-land	8955
pac-mania	8961
pac-pal	8952
pachinko-sexy-reaction	12956
palamedes	8969
pang-poms	8972
paperboy	8977
parodius	8985
passing-shot	8986
pengo	8989
pepper-ii	8992
peter-pack-rat	8998
phelios	9003
phoenix_	9004
phozon	9006
pigskin-621-ad	9012
pit	9033
pitfall-ii-lost-caverns	9036
plotting	9046
pochi-and-nyaa	13685
point-blank	9057
poitto	9058
polaris	9062
pole-position	9063
pole-position-ii	9064
pollux	9069
poly-play	9070
power-drift	9099
power-instinct	9103
prehistoric-isle-2	9119
prehistoric-isle-in-1930	9120
premier-soccer	9121
pretty-soldier-sailor-moon	9123
progear	9136
psycho-soldier	9144
pulstar	9151
punisher__	9156
punk-shot	9157
pururun	9147
puyo-puyo_	9163
puyo-puyo-2	9164
puzzle-action-ichidant-r	9166
puzzle-action-tant-r	9167
puzzle-de-bowling	9175
puzzled_	9178
puzznic	9180
qbert	9182
qberts-qubes	9183
qix	9185
quartet	9192
quester	9197
r-shark	9218
r-type	9219
r-type-ii	9220
r-type-leo	9221
r2d-tank	13208
rafflesia	9242
ragnagard	9243
raiden	9244
raiden-dx	9245
raiden-ii	9249
rail-chase	9252
rambo-iii___	9260
rampage	9261
rampage-world-tour	9262
rampart	9263
real-bout-fatal-fury	9275
real-bout-fatal-fury-2-the-newcomers	9276
real-bout-fatal-fury-special	9277
real-ghostbusters	9281
relief-pitcher	9296
renegade	9297
return-of-ishtar	9302
revolution-x	9308
riding-hero	9316
ring-king_	9319
riot-city	9324
road-fighter	9335
road-runner	9338
roadwars	13212
robo-army	9341
robo-wres-2001	9342
robocop-2______	9344
robotron-2084	9347
rodland	9357
rolling-thunder	9362
rolling-thunder-2	9363
rompers	9365
saboten-bombers	9401
samurai-shodown	9417
samurai-shodown-ii	9419
samurai-shodown-iii-blades-of-blood	9420
samurai-shodown-iv-amakusas-revenge	9423
sar-search-and-rescue	9394
sarge	9433
satans-hollow	9436
saturday-night-slam-masters	9437
savage-reign	9442
scion	9444
scramble-spirits	9449
sdi-strategic-defense-initiative	9396
sengoku	9486
sengoku-2	9487
sengoku-3	9488
senjyo-	9493
shadow-dancer	9499
shadow-force	9500
shanghai-ii	19411
sharpshooter	9510
shinobi	9516
shock-troopers	9522
shock-troopers-2nd-squad	9523
shogun-warriors	9525
side-trak	9541
silent-dragon	9543
simpsons	9550
sinistar	9553
skull-crossbones	9561
sky-alert	9564
slither	9587
sly-spy-secret-agent	9463
smash-tv	9591
snake-pit_	9596
soccer-brawl	9604
solar-fox	9610
sonic-boom	9623
sorcer-striker	9631
space-dungeon	9648
space-fury	9658
space-gun	9659
space-harrier	9660
space-invaders-dx	9665
space-panic	9676
spark-man	9693
special-forces-kung-fu-commando	9701
spelunker	9715
spelunker-ii-23-no-kagi	9716
spiders	9718
spinal-breakers	9723
splatterhouse	9728
springer_	9737
spy-hunter	9742
spy-hunter-ii	9743
spy-special-project-y	9391
srd-mission	9392
ss-mission	13467
stakes-winner-2	9751
stakes-winner-gi-kanzen-seiha-e-no-michi	9750
star-jacker	9764
star-trek-strategic-operations-simulator	9770
star-wars-the-empire-strikes-back__	7708
stargate	9780
steel-force	13472
steel-talons	9785
stocker	9789
stone-ball	9791
street-fighter-alpha-2	9804
street-fighter-ii-turbo	9812
street-football	9830
strike-force	9845
strike-gunner-stg	9846
strike-zone-baseball	9847
strikers-1945_	9848
stun-runner	9393
super-baseball-2020	6775
super-burgertime	9876
super-dodge-ball_	9888
super-hang-on	9901
super-high-impact	9903
super-monaco-gp	9919
super-puzzle-fighter-ii-turbo	9931
super-sidekicks	9939
super-sidekicks-2-the-world-championship	9940
super-sidekicks-3-the-next-glory	9941
super-sprint	9952
super-spy	9953
super-stingray	9954
super-volley-ball	9968
super-world-court	9969
super-xevious	9975
super-zaxxon	9976
superior-soldiers	17802
superman_____	9977
surprise-attack	9981
tacscan	10007
taitos-super-space-invaders	9945
tang-tang	13699
tank-force	10028
tapper	12839
targ	10034
tecmo-bowl	10043
teddy-boy	10048
teenage-mutant-ninja-turtles-turtles-in-time	10056
tehkan-world-cup	10057
tekken-tag-tournament	10063
terminator-2-judgment-day___	12756
tetris_atari	10081
tetris_sega	10082
thrash-rally	10087
three-stooges-in-brides-is-brides	12950
thunder-cross-ii	10099
thunder-dragon	10100
thunder-dragon-2	10101
thunder-fox	10103
thunder-hoop	10104
thunder-lightning	10092
thundercade	10107
thunderjaws	10106
tiger-road	10111
timber	10113
time-killers	10117
time-scanner	10122
time-soldiers	10123
time-soldiers	7041
toobin	10149
top-hunter-roddy-cathy	10154
top-speed	10161
total-carnage	10167
tough-turf	10172
tower-of-druaga	10178
toy-pop	10179
trog	10201
tron	10204
tropical-angel	10205
tumble-pop	10214
turbo-out-run	10218
twin-brats	18867
twin-eagle	10233
twin-eagle-ii-the-rescue-mission	10234
twin-falcons	10235
twinkle	13742
ultimate-11-snk-football-championship	10254
ultimate-tennis	10257
ultra-tank	10261
ultraman	10264
undercover-cops	10266
up-n-down	10273
us-championship-vball	10248
valkyrie-no-densetsu	10281
vandyke	10292
varia-metal	13323
varth-operation-thunderstorm	10297
vasara-	10298
vasara-2	10877
vendetta_	10300
venture	10301
victory	10306
viewpoint	10316
vindicators	10319
volfied	10345
voltage-fighter-gowcaizer	10347
wacko	10390
waku-waku-7	10392
war-of-aero-project-meiou	10399
warp-warp	10406
warrior-blade-rastan-saga-episode-iii-	10409
warriors-of-fate	10410
willow_	10437
windjammers	10441
wizard-fire 10458
wonder-boy	10463
wonder-boy-in-monster-land	10464
wonder-momo	10467
world-heroes	10475
world-heroes-2	10476
world-heroes-2-jet	10477
world-heroes-perfect	10478
wrestle-war	10493
wwf-superstars_	10387
wwf-wrestlefest	10388
wwf-wrestlemania__	10389
x-men___	10496
x-multiply	10495
xenon	10502
xenophobe	10503
xybots	10510
yam-yam	10511
yamato	10512
zaxxon	12757
zed-blade	10523
zektor	10524
zero-hour	10526
zero-point	10527
zero-point-2	11003
zing-zing-zip	10534
zodiack	10537
zombie-raid	10538
zoo-keeper_	10540
zunzunky-no-yab	10544
zupapa	10545
zwackery	10546
zzyzzyxx	10547
